id,title,author,year,genre,cover_url,cover_filename,license,source,one_line_plot
/works/OL15437W,Lilith,George MacDonald,1895,fantasy,https://covers.openlibrary.org/b/id/14364546-L.jpg,book_covers/_works_OL15437W_14364546.jpg,public-domain/unknown,openlibrary,Lilith is considered among the darkest of George MacDonald's works. Many believe MacDonald is arguing for Christian universal
/works/OL262384W,The Sea Fairies,L. Frank Baum,1911,fantasy,https://covers.openlibrary.org/b/id/1814237-L.jpg,book_covers/_works_OL262384W_1814237.jpg,public-domain/unknown,openlibrary,"This is a tale of life beneath the sea, of mermaids and sea serpents and other strange"
/works/OL99539W,The Phoenix and the Carpet,Edith Nesbit,1903,fantasy,https://covers.openlibrary.org/b/id/902122-L.jpg,book_covers/_works_OL99539W_902122.jpg,public-domain/unknown,openlibrary,"Five British children discover in their new carpet an egg, which hatches into a phoenix. The phoenix"
/works/OL99541W,The Enchanted Castle,Edith Nesbit,1907,fantasy,https://covers.openlibrary.org/b/id/6644514-L.jpg,book_covers/_works_OL99541W_6644514.jpg,public-domain/unknown,openlibrary,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a"
/works/OL462007W,Peter Pan,J. M. Barrie,1911,fantasy,https://covers.openlibrary.org/b/id/8237052-L.jpg,book_covers/_works_OL462007W_8237052.jpg,public-domain/unknown,openlibrary,"The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow"
/works/OL85892W,Dracula,Bram Stoker,1897,fantasy,https://covers.openlibrary.org/b/id/12216503-L.jpg,book_covers/_works_OL85892W_12216503.jpg,public-domain/unknown,openlibrary,This annotated introduction accompanying this classic novel is essential for all fans of Bram Stoker’s Dracula.
/works/OL15450W,Phantastes,George MacDonald,1850,fantasy,https://covers.openlibrary.org/b/id/14358814-L.jpg,book_covers/_works_OL15450W_14358814.jpg,public-domain/unknown,openlibrary, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land
/works/OL2895536W,Carmilla,Sheridan Le Fanu,1871,fantasy,https://covers.openlibrary.org/b/id/973851-L.jpg,book_covers/_works_OL2895536W_973851.jpg,public-domain/unknown,openlibrary,
/works/OL3388961W,The Great God Pan,Arthur Machen,1894,fantasy,https://covers.openlibrary.org/b/id/921610-L.jpg,book_covers/_works_OL3388961W_921610.jpg,public-domain/unknown,openlibrary,"Arthur Machen's first book, THE GREAT GOD PAN, published in 1894, is still one of the"
/works/OL99529W,The Book of Dragons,Edith Nesbit,1973,fantasy,https://covers.openlibrary.org/b/id/4342323-L.jpg,book_covers/_works_OL99529W_4342323.jpg,public-domain/unknown,openlibrary,"Eight madcap tales of unpredictable dragons. One made of ice, another that takes refuge in the General Post Office"
/works/OL6583284W,The princess and the goblin,George MacDonald,1907,fantasy,https://covers.openlibrary.org/b/id/13192917-L.jpg,book_covers/_works_OL6583284W_13192917.jpg,public-domain/unknown,openlibrary,A little princess is protected by her friend Curdie who knows how to frighten the goblin miners who live
/works/OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,1865,fantasy,https://covers.openlibrary.org/b/id/10527843-L.jpg,book_covers/_works_OL138052W_10527843.jpg,public-domain/unknown,openlibrary,Alice's Adventures in Wonderland is an 1865 English children's novel by Lewis Carroll. It is seen as an example
/works/OL65430W,The Awakening,Kate Chopin,1899,fantasy,https://covers.openlibrary.org/b/id/8750241-L.jpg,book_covers/_works_OL65430W_8750241.jpg,public-domain/unknown,openlibrary,"The Awakening is a novel by Kate Chopin, first published in 1899. Set in New Orleans and on the"
/works/OL8127201W,The King in Yellow,Robert W. Chambers,1895,fantasy,https://covers.openlibrary.org/b/id/4752788-L.jpg,book_covers/_works_OL8127201W_4752788.jpg,public-domain/unknown,openlibrary,"Great writing; powerful emotions. Chambers wrote mainly conventional stuff, but not here. An important early classic of fantasy"
/works/OL85891W,The Jewel of Seven Stars,Bram Stoker,1902,fantasy,https://covers.openlibrary.org/b/id/2760301-L.jpg,book_covers/_works_OL85891W_2760301.jpg,public-domain/unknown,openlibrary,"This dark fantasy Bram Stoker book is full of suspense. Set in ancient Egypt, it will keep you on"
/works/OL81294W,Women in Love,D. H. Lawrence,1877,fantasy,https://covers.openlibrary.org/b/id/13140934-L.jpg,book_covers/_works_OL81294W_13140934.jpg,public-domain/unknown,openlibrary,"""Women in Love"" is a prophetic masterpiece steeped in eroticism, filled with perceptions about sexual power and"
/works/OL27482W,The Hobbit,J.R.R. Tolkien,1937,fantasy,https://covers.openlibrary.org/b/id/14627509-L.jpg,book_covers/_works_OL27482W_14627509.jpg,public-domain/unknown,openlibrary,"The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded"
/works/OL76487W,The Man Who Was Thursday,Gilbert Keith Chesterton,1908,fantasy,https://covers.openlibrary.org/b/id/8242857-L.jpg,book_covers/_works_OL76487W_8242857.jpg,public-domain/unknown,openlibrary,Gabriel Syme goes undercover in Europe's Central Anarchist Council. Syme has himself voted to the position
/works/OL16249171W,Hans Andersen's Fairy Tales,Hans Christian Andersen,1846,fantasy,https://covers.openlibrary.org/b/id/320591-L.jpg,book_covers/_works_OL16249171W_320591.jpg,public-domain/unknown,openlibrary,"16 tales include ""Little Claus and Big Claus,"" ""Father's Always Right,"" and ""The Goblin and the"
/works/OL1168007W,Animal Farm,George Orwell,1945,fantasy,https://covers.openlibrary.org/b/id/11261770-L.jpg,book_covers/_works_OL1168007W_11261770.jpg,public-domain/unknown,openlibrary,Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The
/works/OL77744W,Anne of Avonlea,Lucy Maud Montgomery,1909,fantasy,https://covers.openlibrary.org/b/id/14638062-L.jpg,book_covers/_works_OL77744W_14638062.jpg,public-domain/unknown,openlibrary,The second story in the ever-popular Anne of Green Gables series. Anne is ready to begin a new
